Glass,nd,ne,vd,ve,Colour code,B1,B2,B3,C1,C2,C3,D0,D1,D2,E0,E1,lambda,1060nm,e-line,g-line,1060nm,e-line,g-line,1060nm,e-line,g-line,1060nm,e-line,g-line,1060nm,e-line, g-line,1060nm,e-line,g-line,Stress optical coefficient,TAUI25/2500,TAUI25/2325,TAUI25/1970,TAUI25/1530,TAUI25/1060,TAUI25/700,TAUI25/660,TAUI25/620,TAUI25/580,TAUI25/546,TAUI25/500,TAUI25/460,TAUI25/436,TAUI25/420,TAUI25/405,TAUI25/400,TAUI25/390,TAUI25/380,TAUI25/370,TAUI25/365,TAUI25/350,TAUI25/334,TAUI25/320,TAUI25/310,TAUI25/300,TAUI25/290,TAUI25/280,TAUI25/270,TAUI25/260,TAUI25/250,TAUI10/2500,TAUI10/2325,TAUI10/1970,TAUI10/1530,TAUI10/1060,TAUI10/700,TAUI10/660,TAUI10/620,TAUI10/580,TAUI10/546,TAUI10/500,TAUI10/460,TAUI10/436,TAUI10/420,TAUI10/405,TAUI10/400,TAUI10/390,TAUI10/380,TAUI10/370,TAUI10/365,TAUI10/350,TAUI10/334,TAUI10/320,TAUI10/310,TAUI10/300,TAUI10/290,TAUI10/280,TAUI10/270,TAUI10/260,TAUI10/250,Bubble class (B),CR,FR,SR,AR,PR,Density,Tg,T13,T7.6,Heat capacity (cp),Heat conductivity(lambda),alpha -30/70,alpha 20/300,Young´s modulus (E),Poisson ratio (µ),Knoop hardness (HK),Abrasion hardness (HG),K,  n2325.4,  n1970.1,  n1529.6,  n1060.0,  nt,  ns,  nr,  nC,  nC',  n632.8,  nD,  nd,  ne,  nF,  nF',  ng,  nh,  ni,  n334.1,  n312.6,  n296.7,  n280.4,  n248.3,nF-nC,nF'-nC',"  P s,t","  P C,s","  P d,C","  P e,d","  P g,F","  P i,h","  P' s,t ","  P' C',s","  P' d,C'","  P' e,d ","  P' g,F'","  P' i,h ","  DP C,t","  DP C,s","  DP F,e","  DP g,F","  DP i,g",Glascode,Remarks,Date,rel. Price,WR-J,SR-J,AT,HG-J
F2,1.62004,1.62408,36.37,36.11,35/32,1.34533359,0.209073176,0.937357162,0.00997743871,0.0470450767,111.886764,1.51E-06,1.56E-08,-2.78E-11,9.34E-07,1.04E-09,2.50E-01,2.40,3.90,5.50,0.30,1.60,3.20,2.70,4.40,6.30,1.30,3.00,4.80,3.00,4.80,6.80,1.90,3.7,5.7,2.81,0.589,0.685,0.876,0.989,0.998,0.998,0.997,0.998,0.998,0.998,0.997,0.994,0.993,0.991,0.987,0.985,0.977,0.963,0.940,0.921,0.780,0.211,0.000,,,,,,,,0.809,0.859,0.949,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.995,0.994,0.991,0.985,0.975,0.968,0.905,0.537,0.080,0.000,,,,,,,0,1,0,1,2.3,1.3,3.60,434,430,594,0.557,0.78,8.2,9.2,57,0.22,420,2,2.81,1.58465,1.58958,1.59513,1.60190,1.60279,1.60671,1.61227,1.61503,1.61582,1.61656,1.61989,1.62004,1.62408,1.63208,1.63310,1.64202,1.65064,1.66623,1.684550,,,,,0.017050,0.017284,0.2301,0.4882,0.2938,0.2370,0.5828,0.9142,0.2270,0.5270,0.2443,0.2338,0.5159,0.9018,0.0008,0.0005,0.0000,0.0002,0.0006,620364.360,lead containing glass type,22/2/07,1.6
F2HT,1.62004,1.62408,36.37,36.11,35/32,1.34533359,0.209073176,0.937357162,0.00997743871,0.0470450767,111.886764,1.51E-06,1.56E-08,-2.78E-11,9.34E-07,1.04E-09,2.50E-01,2.40,3.90,5.50,0.30,1.60,3.20,2.70,4.40,6.30,1.30,3.00,4.80,3.00,4.80,6.80,1.90,3.7,5.7,2.81,0.714,0.795,0.921,0.994,0.998,0.998,0.997,0.998,0.998,0.998,0.997,0.995,0.994,0.994,0.992,0.991,0.988,0.982,0.971,0.957,0.828,0.240,0.000,,,,,,,,0.874,0.912,0.968,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.996,0.995,0.993,0.988,0.983,0.927,0.565,0.080,0.000,,,,,,,0,1,0,1,2.3,1.3,3.60,434,430,594,0.557,0.78,8.2,9.2,57,0.22,420,2,2.81,1.58465,1.58958,1.59513,1.60190,1.60279,1.60671,1.61227,1.61503,1.61582,1.61656,1.61989,1.62004,1.62408,1.63208,1.63310,1.64202,1.65064,1.66623,1.684550,,,,,0.017050,0.017284,0.2301,0.4882,0.2938,0.2370,0.5828,0.9142,0.2270,0.5270,0.2443,0.2338,0.5159,0.9018,0.0008,0.0005,0.0000,0.0002,0.0006,620364.360,lead containing glass type,22/2/07,-
F5,1.60342,1.60718,38.03,37.77,35/32,1.3104463,0.19603426,0.96612977,0.00958633048,0.0457627627,115.011883,2.13E-06,1.65E-08,-6.98E-11,1.02E-06,6.56E-10,2.08E-01,2.50,4.00,5.50,0.40,1.80,3.30,3.00,4.60,6.20,1.60,3.20,4.80,3.10,4.80,6.50,2.00,3.7,5.4,2.92,0.550,0.650,0.860,0.987,0.998,0.997,0.996,0.995,0.995,0.995,0.994,0.991,0.990,0.988,0.985,0.982,0.973,0.960,0.930,0.910,0.760,0.300,0.000,,,,,,,,0.787,0.842,0.941,0.995,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.996,0.996,0.995,0.994,0.993,0.989,0.984,0.971,0.963,0.896,0.618,0.080,0.000,,,,,,,0,1,0,1,2.3,2,3.47,438,425,608,,,8,8.9,58,0.22,450,3,2.92,1.56934,1.57427,1.57979,1.58636,1.58721,1.59093,1.59616,1.59875,1.59948,1.60017,1.60328,1.60342,1.60718,1.61461,1.61556,1.62381,1.63176,1.64606,1.662760,,,,,0.015867,0.016078,0.2346,0.4925,0.2946,0.2371,0.5795,0.9015,0.2315,0.5317,0.2451,0.2340,0.5131,0.8897,0.0017,0.0009,-0.0001,-0.0003,-0.0028,603380.347,lead containing glass type,18/10/06,2.0
K10,1.50137,1.50349,56.41,56.15,33/30,1.15687082,0.0642625444,0.872376139,0.00809424251,0.0386051284,104.74773,4.86E-06,1.72E-08,-3.02E-11,3.82E-07,4.53E-10,2.60E-01,3.30,3.90,4.50,1.30,1.80,2.40,3.60,4.20,4.90,2.30,2.90,3.60,3.80,4.50,5.20,2.80,3.4,4.2,3.12,0.520,0.630,0.850,0.983,0.996,0.997,0.994,0.993,0.993,0.992,0.991,0.990,0.988,0.988,0.987,0.986,0.982,0.973,0.966,0.958,0.910,0.720,0.310,0.130,0.020,,,,,,0.770,0.831,0.937,0.993,0.998,0.999,0.998,0.997,0.997,0.997,0.996,0.996,0.995,0.995,0.995,0.994,0.993,0.989,0.986,0.983,0.963,0.877,0.626,0.370,0.140,,,,,,1,1,0,1,1,1.2,2.52,459,453,691,0.77,1.12,6.5,7.4,65,0.19,470,4,3.12,1.47507,1.48008,1.48536,1.49076,1.49137,1.49389,1.49713,1.49867,1.49910,1.49950,1.50129,1.50137,1.50349,1.50756,1.50807,1.51243,1.51649,1.52350,1.531200,1.538440,,,,0.008888,0.008967,0.2835,0.5385,0.3037,0.2382,0.5475,0.7888,0.2810,0.5817,0.2531,0.2362,0.4860,0.7819,0.0094,0.0041,-0.0007,-0.0015,-0.0048,501564.252,lead containing glass type,3/9/01,2.5
K7,1.51112,1.51314,60.41,60.15,33/30,1.1273555,0.124412303,0.827100531,0.00720341707,0.0269835916,100.384588,-1.67E-06,8.80E-09,-2.86E-11,5.42E-07,7.81E-10,1.72E-01,1.00,1.60,2.10,-1.00,-0.40,0.10,0.90,1.60,2.20,-0.40,0.20,0.90,0.80,1.60,2.30,-0.20,0.6,1.2,2.95,0.340,0.500,0.790,0.980,0.994,0.996,0.995,0.995,0.994,0.994,0.993,0.990,0.990,0.990,0.990,0.990,0.988,0.983,0.976,0.971,0.940,0.780,0.420,0.100,,,,,,,0.650,0.758,0.910,0.992,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.996,0.995,0.993,0.990,0.988,0.976,0.905,0.707,0.398,0.090,,,,,,1,3,0,2,1,2.3,2.53,513,,712,,,8.4,9.7,69,0.214,520,3,2.95,1.48553,1.49046,1.49565,1.50091,1.50150,1.50394,1.50707,1.50854,1.50895,1.50934,1.51105,1.51112,1.51314,1.51700,1.51748,1.52159,1.52540,1.53189,1.538910,1.545370,,,,0.008461,0.008531,0.2880,0.5436,0.3049,0.2385,0.5422,0.7677,0.2857,0.5874,0.2542,0.2365,0.4814,0.7614,0.0001,-0.0001,0.0000,0.0000,-0.0001,511604.253,,24/8/00,2.0
KZFS12,1.69600,1.70055,36.29,36.06,40/35,1.55624873,0.239769276,0.947887658,0.0102012744,0.0469277969,69.8370722,4.36E-06,1.32E-08,-1.81E-11,6.86E-07,6.81E-10,2.53E-01,4.10,5.40,6.80,1.90,3.10,4.40,4.30,5.70,7.30,2.80,4.20,5.80,4.50,6.00,7.80,3.40,4.9,6.6,2.35,0.040,0.300,0.810,0.940,0.994,0.993,0.992,0.992,0.991,0.991,0.986,0.971,0.944,0.910,0.840,0.810,0.720,0.580,0.380,0.250,0.004,,,,,,,,,,0.276,0.618,0.919,0.976,0.998,0.997,0.997,0.997,0.996,0.996,0.994,0.988,0.977,0.963,0.933,0.919,0.877,0.804,0.679,0.574,0.109,,,,,,,,,,1,4,1,53.3,4.3,4.3,3.84,492,476,549,0.54,0.71,5.18,6.22,66,0.279,440,4,2.35,1.64970,1.65749,1.66580,1.67488,1.67598,1.68071,1.68717,1.69033,1.69122,1.69206,1.69583,1.69600,1.70055,1.70951,1.71065,1.72059,1.73017,1.74746,,,,,,0.019179,0.019425,0.2468,0.5013,0.2957,0.2371,0.5778,0.9012,0.2436,0.5409,0.2460,0.2341,0.5118,0.8898,0.0309,0.0138,-0.0021,-0.0050,-0.0189,696363.384,"lead containing glass type, will become inquiry glass as of Jan 2012, not recommended for new design",29/4/02,-
KZFSN5,1.65412,1.65803,39.63,39.40,37/34,1.47727858,0.191686941,0.897333608,0.00975488335,0.0450495404,67.8786495,5.51E-06,1.48E-08,-2.21E-11,6.22E-07,7.05E-10,2.30E-01,4.40,5.50,6.60,2.20,3.20,4.30,4.70,5.90,7.10,3.30,4.40,5.60,4.90,6.20,7.60,3.80,5.1,6.4,2.89,0.030,0.240,0.770,0.920,0.997,0.996,0.996,0.996,0.996,0.995,0.992,0.985,0.978,0.968,0.950,0.940,0.911,0.850,0.740,0.650,0.190,,,,,,,,,,0.246,0.565,0.901,0.967,0.999,0.998,0.998,0.998,0.998,0.998,0.997,0.994,0.991,0.987,0.980,0.976,0.963,0.937,0.887,0.842,0.515,0.130,,,,,,,,,1,3,2,52.3,4.3,4.3,3.46,501,479,,,,4.5,5.7,65,0.275,460,5,2.89,1.61108,1.61880,1.62692,1.63548,1.63649,1.64075,1.64644,1.64920,1.64998,1.65070,1.65397,1.65412,1.65803,1.66571,1.66668,1.67512,1.68319,1.69759,,,,,,0.016507,0.016701,0.2581,0.5120,0.2978,0.2374,0.5700,0.8727,0.2551,0.5525,0.2479,0.2346,0.5053,0.8625,0.0371,0.0167,-0.0027,-0.0071,-0.0302,654396.346,"lead containing glass type, will become inquiry glass as of Jan 2011, not recommended for new design",18/5/00,3.0
LAFN7,1.74950,1.75458,34.95,34.72,40/35,1.66842615,0.298512803,1.0774376,0.0103159999,0.0469216348,82.5078509,7.27E-06,1.31E-08,-3.32E-11,8.88E-07,9.32E-10,2.48E-01,6.00,7.80,9.70,3.70,5.40,7.20,6.30,8.30,10.40,4.80,6.70,8.90,6.50,8.60,10.90,5.30,7.4,9.7,1.77,0.090,0.410,0.850,0.960,0.996,0.996,0.995,0.995,0.995,0.994,0.994,0.982,0.965,0.940,0.880,0.850,0.780,0.650,0.400,0.220,0.010,,,,,,,,,,0.382,0.700,0.937,0.984,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.993,0.986,0.976,0.950,0.937,0.905,0.842,0.693,0.546,0.125,,,,,,,,,,0,3,1,53.3,2.2,4.3,4.38,500,481,573,,0.77,5.3,6.4,80,0.28,520,3,1.77,1.70211,1.70934,1.71726,1.72642,1.72758,1.73264,1.73970,1.74319,1.74418,1.74511,1.74931,1.74950,1.75458,1.76464,1.76592,1.77713,1.78798,1.80762,,,,,,0.021445,0.021735,0.2360,0.4921,0.2941,0.2369,0.5825,0.9160,0.2329,0.5311,0.2446,0.2338,0.5158,0.9037,0.0174,0.0078,-0.0011,-0.0025,-0.0093,750350.438,lead containing glass type,26/7/00,5.0
LF5,1.58144,1.58482,40.85,40.57,34/31,1.28035628,0.163505973,0.893930112,0.00929854416,0.0449135769,110.493685,-2.27E-06,9.71E-09,-2.83E-11,8.36E-07,9.95E-10,2.28E-01,0.80,1.90,3.10,-1.30,-0.20,0.90,0.80,2.00,3.40,-0.60,0.70,2.00,0.80,2.20,3.70,-0.30,1.1,2.6,2.83,,0.660,0.870,0.992,0.998,0.998,0.998,0.998,0.997,0.997,0.996,0.995,0.994,0.993,0.992,0.992,0.984,0.973,0.961,0.954,0.880,0.570,0.040,,,,,,,,,0.847,0.946,0.997,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.997,0.997,0.994,0.989,0.984,0.981,0.950,0.799,0.320,0.040,,,,,,,1,2,0,1,2.3,2,3.22,419,411,585,0.657,0.866,9.1,10.6,59,0.223,450,2,2.83,1.54966,1.55445,1.55975,1.56594,1.56672,1.57014,1.57489,1.57723,1.57789,1.57851,1.58132,1.58144,1.58482,1.59146,1.59231,1.59964,1.60668,1.61926,1.633800,,,,,0.014233,0.014413,0.2401,0.4981,0.2959,0.2373,0.5748,0.8836,0.2371,0.5378,0.2462,0.2343,0.5091,0.8726,-0.0006,0.0000,-0.0001,-0.0003,-0.0037,581409.322,lead containing glass type,19/5/00,2.0
LLF1,1.54814,1.55099,45.75,45.47,33/31,1.21640125,0.13366454,0.883399468,0.00857807248,0.0420143003,107.59306,3.25E-07,1.74E-08,-6.12E-11,6.53E-07,2.58E-10,2.33E-01,1.50,2.40,3.40,-0.60,0.30,1.30,1.90,2.90,3.90,0.60,1.50,2.50,2.00,3.00,4.10,1.00,2,3,3.05,0.500,0.610,0.840,0.990,0.996,0.997,0.996,0.996,0.997,0.997,0.996,0.996,0.996,0.995,0.994,0.993,0.992,0.988,0.984,0.981,0.955,0.810,0.300,0.010,,,,,,,0.758,0.821,0.933,0.996,0.998,0.999,0.998,0.998,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.995,0.994,0.992,0.982,0.919,0.618,0.240,0.024,0.002,,,,,1,1,0,1,2,1,2.94,431,426,628,0.65,,8.1,9.2,60,0.208,450,3,3.05,1.51865,1.52354,1.52884,1.53470,1.53541,1.53845,1.54256,1.54457,1.54513,1.54566,1.54803,1.54814,1.55099,1.55655,1.55725,1.56333,1.56911,1.57932,1.590920,,,,,0.011981,0.012118,0.2537,0.5108,0.2983,0.2376,0.5660,0.8520,0.2508,0.5516,0.2484,0.2349,0.5017,0.8424,0.0025,0.0012,-0.0003,-0.0009,-0.0062,548458.294,lead containing glass type,2/2/04,2.5
N-BAF10,1.67003,1.67341,47.11,46.83,39/35,1.5851495,0.143559385,1.08521269,0.00926681282,0.0424489805,105.613573,3.79E-06,1.28E-08,-1.42E-11,5.84E-07,7.60E-10,2.20E-01,3.70,4.70,5.60,1.50,2.40,3.30,3.80,4.90,6.00,2.40,3.50,4.50,4.00,5.20,6.40,2.90,4.1,5.3,2.37,0.450,0.680,0.920,0.980,0.994,0.994,0.990,0.991,0.990,0.990,0.981,0.967,0.954,0.940,0.900,0.880,0.800,0.660,0.440,0.310,0.010,,,,,,,,,,0.727,0.857,0.967,0.992,0.998,0.998,0.996,0.996,0.996,0.996,0.992,0.987,0.981,0.976,0.959,0.950,0.915,0.847,0.720,0.626,0.176,,,,,,,,,,1,1,0,4.3,1.3,1,3.75,660,652,790,0.56,0.78,6.18,7.04,89,0.271,620,4,2.37,1.63524,1.64094,1.64714,1.65404,1.65488,1.65849,1.66339,1.66578,1.66645,1.66708,1.66990,1.67003,1.67341,1.68000,1.68083,1.68801,1.69480,,,,,,,0.014222,0.014380,0.2539,0.5122,0.2989,0.2377,0.5629,,0.2511,0.5533,0.2489,0.2351,0.4990,,-0.0024,-0.0005,-0.0003,-0.0016,,670471.375,,19/2/02,3.0
N-BAF4,1.60568,1.60897,43.72,43.43,39/35,1.42056328,0.102721269,1.14380976,0.00942015382,0.0531087291,110.278856,9.39E-07,1.24E-08,-9.00E-12,6.17E-07,8.42E-10,2.42E-01,2.20,3.10,4.10,0.10,0.90,1.90,2.20,3.30,4.50,0.90,1.90,3.00,2.40,3.60,4.90,1.30,2.5,3.8,2.58,0.420,0.640,0.890,0.977,0.994,0.994,0.991,0.990,0.992,0.992,0.985,0.971,0.959,0.940,0.900,0.870,0.770,0.580,0.280,0.130,,,,,,,,,,,0.707,0.837,0.954,0.991,0.998,0.998,0.996,0.996,0.997,0.997,0.994,0.988,0.983,0.976,0.959,0.946,0.901,0.804,0.601,0.442,0.012,,,,,,,,,,1,1,0,1,1.2,1.3,2.89,580,580,709,0.74,1.02,7.24,8.29,85,0.231,610,3,2.58,1.57092,1.57685,1.58323,1.59016,1.59099,1.59452,1.59926,1.60157,1.60222,1.60282,1.60556,1.60568,1.60897,1.61542,1.61624,1.62336,1.63022,,,,,,,0.013853,0.014021,0.2545,0.5089,0.2972,0.2372,0.5733,,0.2515,0.5491,0.2473,0.2344,0.5081,,0.0110,0.0041,0.0002,0.0030,,606437.289,,3/9/01,4.0
N-BAF51,1.65224,1.65569,44.96,44.67,39/34,1.51503623,0.153621958,1.15427909,0.00942734715,0.04308265,124.889868,-2.84E-07,1.04E-08,-1.80E-11,7.01E-07,8.47E-10,2.19E-01,1.70,2.80,3.80,-0.50,0.50,1.50,1.70,2.90,4.10,0.30,1.50,2.70,1.80,3.10,4.40,0.70,2,3.3,2.22,0.480,0.630,0.870,0.980,0.993,0.993,0.990,0.990,0.992,0.991,0.985,0.970,0.956,0.940,0.910,0.890,0.820,0.690,0.470,0.330,0.020,,,,,,,,,,0.746,0.831,0.946,0.992,0.997,0.997,0.996,0.996,0.997,0.996,0.994,0.988,0.982,0.976,0.963,0.954,0.924,0.862,0.739,0.642,0.209,,,,,,,,,,1,2,0,5.4,1.3,1,3.33,569,574,712,0.84,0.67,8.37,9.49,91,0.262,560,5,2.22,1.61873,1.62390,1.62961,1.63619,1.63701,1.64059,1.64551,1.64792,1.64860,1.64924,1.65211,1.65224,1.65569,1.66243,1.66328,1.67065,1.67766,,,,,,,0.014507,0.014677,0.2463,0.5055,0.2977,0.2376,0.5670,,0.2435,0.5460,0.2479,0.2349,0.5024,,-0.0064,-0.0022,-0.0001,-0.0012,,652450.333,,3/9/01,3.0
N-BAF52,1.60863,1.61173,46.60,46.30,39/35,1.43903433,0.0967046052,1.09875818,0.00907800128,0.050821208,105.691856,1.15E-06,1.27E-08,-5.08E-12,5.64E-07,6.38E-10,2.38E-01,2.30,3.10,4.00,0.20,0.90,1.80,2.30,3.30,4.30,0.90,1.90,2.90,2.50,3.60,4.70,1.40,2.5,3.6,2.42,0.390,0.630,0.890,0.975,0.994,0.993,0.990,0.989,0.990,0.989,0.980,0.967,0.954,0.938,0.900,0.880,0.800,0.650,0.370,0.210,,,,,,,,,,,0.686,0.831,0.954,0.990,0.998,0.997,0.996,0.996,0.996,0.996,0.992,0.987,0.981,0.975,0.959,0.950,0.915,0.842,0.672,0.536,0.048,,,,,,,,,,1,1,0,1,1.3,1,3.05,594,596,716,0.68,0.96,6.86,7.83,86,0.237,600,3,2.42,1.57475,1.58067,1.58702,1.59381,1.59461,1.59801,1.60254,1.60473,1.60535,1.60593,1.60852,1.60863,1.61173,1.61779,1.61856,1.62521,1.63157,,,,,,,0.013061,0.013211,0.2600,0.5147,0.2985,0.2374,0.5678,,0.2571,0.5555,0.2485,0.2348,0.5035,,0.0087,0.0031,0.0002,0.0024,,609466.305,,3/9/01,3.0
N-BAK1,1.57250,1.57487,57.55,57.27,33/29,1.12365662,0.309276848,0.881511957,0.00644742752,0.0222284402,107.297751,1.86E-07,1.29E-08,-1.87E-11,5.25E-07,5.46E-10,1.82E-01,1.70,2.40,3.00,-0.40,0.20,0.80,1.80,2.50,3.20,0.40,1.20,1.80,1.90,2.70,3.50,0.90,1.7,2.4,2.62,0.584,0.721,0.903,0.986,0.996,0.997,0.995,0.995,0.995,0.995,0.992,0.990,0.989,0.990,0.990,0.990,0.988,0.983,0.977,0.969,0.930,0.820,0.570,0.290,0.070,,,,,,0.806,0.877,0.960,0.994,0.998,0.999,0.998,0.998,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.996,0.995,0.993,0.991,0.987,0.971,0.924,0.799,0.609,0.345,0.102,0.014,,,,1,2,1,3.3,1.2,2,3.19,592,592,746,0.687,0.795,7.6,8.6,73,0.252,530,2,2.62,1.54556,1.55032,1.55543,1.56088,1.56152,1.56421,1.56778,1.56949,1.56997,1.57041,1.57241,1.57250,1.57487,1.57943,1.58000,1.58488,1.58941,1.59716,1.605540,1.613260,,,,0.009948,0.010039,0.2712,0.5301,0.3029,0.2384,0.5472,0.7788,0.2687,0.5730,0.2525,0.2362,0.4855,0.7717,-0.0167,-0.0069,0.0006,0.0002,-0.0075,573576.319,,17/9/01,2.0
